top_rank,trial_number,trial_value,best_iter,seed,model_path,params
4,33,611580000.0,395,155555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_4_seed_155555_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2081, ""learning_rate"": 0.13240562646188656, ""min_data_in_leaf"": 61, ""feature_fraction"": 0.29715318755602516, ""bagging_fraction"": 0.8919947455286416, ""lambda_1"": 2.386465886802519, ""lambda_2"": 8.324864647267507, ""seed"": 155555}"
4,33,611580000.0,395,555555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_4_seed_555555_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2081, ""learning_rate"": 0.13240562646188656, ""min_data_in_leaf"": 61, ""feature_fraction"": 0.29715318755602516, ""bagging_fraction"": 0.8919947455286416, ""lambda_1"": 2.386465886802519, ""lambda_2"": 8.324864647267507, ""seed"": 555555}"
4,33,611580000.0,395,551155,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_4_seed_551155_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2081, ""learning_rate"": 0.13240562646188656, ""min_data_in_leaf"": 61, ""feature_fraction"": 0.29715318755602516, ""bagging_fraction"": 0.8919947455286416, ""lambda_1"": 2.386465886802519, ""lambda_2"": 8.324864647267507, ""seed"": 551155}"
4,33,611580000.0,395,515151,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_4_seed_515151_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2081, ""learning_rate"": 0.13240562646188656, ""min_data_in_leaf"": 61, ""feature_fraction"": 0.29715318755602516, ""bagging_fraction"": 0.8919947455286416, ""lambda_1"": 2.386465886802519, ""lambda_2"": 8.324864647267507, ""seed"": 515151}"
4,33,611580000.0,395,151515,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_4_seed_151515_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2081, ""learning_rate"": 0.13240562646188656, ""min_data_in_leaf"": 61, ""feature_fraction"": 0.29715318755602516, ""bagging_fraction"": 0.8919947455286416, ""lambda_1"": 2.386465886802519, ""lambda_2"": 8.324864647267507, ""seed"": 151515}"
5,45,607820000.0,273,155555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_5_seed_155555_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2094, ""learning_rate"": 0.09261278366448927, ""min_data_in_leaf"": 1307, ""feature_fraction"": 0.3543548146372099, ""bagging_fraction"": 0.8043783894678406, ""lambda_1"": 1.7807700607500512, ""lambda_2"": 8.11547664416662, ""seed"": 155555}"
5,45,607820000.0,273,555555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_5_seed_555555_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2094, ""learning_rate"": 0.09261278366448927, ""min_data_in_leaf"": 1307, ""feature_fraction"": 0.3543548146372099, ""bagging_fraction"": 0.8043783894678406, ""lambda_1"": 1.7807700607500512, ""lambda_2"": 8.11547664416662, ""seed"": 555555}"
5,45,607820000.0,273,551155,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_5_seed_551155_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2094, ""learning_rate"": 0.09261278366448927, ""min_data_in_leaf"": 1307, ""feature_fraction"": 0.3543548146372099, ""bagging_fraction"": 0.8043783894678406, ""lambda_1"": 1.7807700607500512, ""lambda_2"": 8.11547664416662, ""seed"": 551155}"
5,45,607820000.0,273,515151,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_5_seed_515151_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2094, ""learning_rate"": 0.09261278366448927, ""min_data_in_leaf"": 1307, ""feature_fraction"": 0.3543548146372099, ""bagging_fraction"": 0.8043783894678406, ""lambda_1"": 1.7807700607500512, ""lambda_2"": 8.11547664416662, ""seed"": 515151}"
5,45,607820000.0,273,151515,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_5_seed_151515_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2094, ""learning_rate"": 0.09261278366448927, ""min_data_in_leaf"": 1307, ""feature_fraction"": 0.3543548146372099, ""bagging_fraction"": 0.8043783894678406, ""lambda_1"": 1.7807700607500512, ""lambda_2"": 8.11547664416662, ""seed"": 151515}"
